fecha,direccion,resultado,entry,pnl_bruto,fees,pnl_neto,capital
2025-10-06 12:15:00,SHORT,STOP,123234.74,-2.8,0.0994,-2.8994,139.1006
2025-10-10 10:15:00,SHORT,TAKE,123077.59,3.92,0.1,3.82,142.9206
2025-10-12 15:15:00,LONG,TAKE,112113.42,3.92,0.1,3.82,146.7407
2025-10-15 08:45:00,LONG,STOP,113341.82,-2.8,0.0994,-2.8994,143.8413
2025-10-17 01:30:00,SHORT,TAKE,110447.53,3.92,0.1,3.82,147.6613
2025-10-21 00:00:00,SHORT,TAKE,110690.88,3.92,0.1,3.82,151.4814
2025-10-26 17:00:00,LONG,TAKE,111343.83,3.92,0.1,3.82,155.3014
2025-10-29 13:30:00,SHORT,TAKE,113944.44,3.92,0.1,3.82,159.1214
2025-11-02 07:00:00,SHORT,STOP,109063.09,-2.8,0.0994,-2.8994,156.222
2025-11-04 09:30:00,SHORT,TAKE,106204.63,3.92,0.1,3.82,160.0421
2025-11-13 01:15:00,SHORT,STOP,101549.5,-2.8,0.0994,-2.8994,157.1427
2025-11-18 11:15:00,LONG,TAKE,91176.22,3.92,0.1,3.82,160.9627
2025-11-19 14:30:00,SHORT,TAKE,91304.17,3.92,0.1,3.82,164.7828
2025-11-19 23:45:00,LONG,TAKE,90419.48,3.92,0.1,3.82,168.6028
2025-11-23 09:00:00,LONG,TAKE,84749.75,3.92,0.1,3.82,172.4228
2025-11-24 05:15:00,LONG,STOP,87538.43,-2.8,0.0994,-2.8994,169.5234
2025-11-25 20:30:00,SHORT,STOP,86469.41,-2.8,0.0994,-2.8994,166.624
2025-11-26 12:30:00,SHORT,STOP,87084.38,-2.8,0.0994,-2.8994,163.7246
2025-11-28 09:15:00,SHORT,STOP,91092.69,-2.8,0.0994,-2.8994,160.8252
2025-11-30 19:15:00,SHORT,TAKE,91118.1,3.92,0.1,3.82,164.6453
2025-12-02 09:00:00,SHORT,STOP,86642.93,-2.8,0.0994,-2.8994,161.7459
2025-12-03 17:45:00,SHORT,STOP,92214.64,-2.8,0.0994,-2.8994,158.8465
2025-12-04 14:00:00,LONG,STOP,93504.44,-2.8,0.0994,-2.8994,155.9471
2025-12-07 20:30:00,SHORT,STOP,89552.94,-2.8,0.0994,-2.8994,153.0477
2025-12-15 10:15:00,SHORT,TAKE,89633.3,3.92,0.1,3.82,156.8677
2025-12-23 01:15:00,SHORT,TAKE,89586.43,3.92,0.1,3.82,160.6878
2025-12-28 22:30:00,LONG,TAKE,87335.96,3.92,0.1,3.82,164.5078
2026-01-02 09:45:00,SHORT,STOP,88244.0,-2.8,0.0994,-2.8994,161.6084
2026-01-04 19:45:00,LONG,TAKE,89578.37,3.92,0.1,3.82,165.4284
2026-01-07 10:15:00,LONG,STOP,93096.71,-2.8,0.0994,-2.8994,162.529
2026-01-13 10:45:00,LONG,TAKE,90831.62,3.92,0.1,3.82,166.3491
2026-01-18 19:00:00,SHORT,TAKE,96017.16,3.92,0.1,3.82,170.1691
2026-01-23 12:30:00,SHORT,STOP,89341.45,-2.8,0.0994,-2.8994,167.2697
2026-01-28 08:30:00,LONG,TAKE,87967.8,3.92,0.1,3.82,171.0898
2026-01-29 10:00:00,SHORT,TAKE,89446.48,3.92,0.1,3.82,174.9098
2026-01-31 09:15:00,LONG,STOP,82985.06,-2.8,0.0994,-2.8994,172.0104
2026-02-03 12:00:00,SHORT,TAKE,78116.43,3.92,0.1,3.82,175.8304
2026-02-09 03:30:00,LONG,STOP,71165.36,-2.8,0.0994,-2.8994,172.931
2026-02-10 23:15:00,LONG,STOP,69086.69,-2.8,0.0994,-2.8994,170.0316
2026-02-11 14:00:00,SHORT,STOP,66245.48,-2.8,0.0994,-2.8994,167.1322
2026-02-12 11:45:00,SHORT,TAKE,67550.82,3.92,0.1,3.82,170.9523
2026-02-15 08:45:00,LONG,STOP,70283.65,-2.8,0.0994,-2.8994,168.0529
2026-02-18 13:30:00,SHORT,TAKE,68531.89,3.92,0.1,3.82,171.8729
2026-02-22 20:00:00,SHORT,TAKE,67453.05,3.92,0.1,3.82,175.693
2026-02-24 08:30:00,SHORT,TAKE,64453.6,3.92,0.1,3.82,179.513
2026-02-27 12:30:00,SHORT,TAKE,67008.06,3.92,0.1,3.82,183.333
2026-02-28 15:15:00,LONG,TAKE,64976.23,3.92,0.1,3.82,187.1531
2026-03-01 15:00:00,LONG,STOP,66938.97,-2.8,0.0994,-2.8994,184.2537
2026-03-02 10:00:00,LONG,TAKE,66507.04,3.92,0.1,3.82,188.0737
2026-03-04 03:45:00,LONG,TAKE,68574.06,3.92,0.1,3.82,191.8938
2026-03-09 04:30:00,SHORT,STOP,66913.39,-2.8,0.0994,-2.8994,188.9944
2026-03-10 04:15:00,LONG,TAKE,69224.73,3.92,0.1,3.82,192.8144
2026-03-10 09:45:00,SHORT,STOP,70056.37,-2.8,0.0994,-2.8994,189.915
2026-03-10 16:30:00,LONG,STOP,71056.49,-2.8,0.0994,-2.8994,187.0156
2026-03-12 19:15:00,SHORT,STOP,69729.17,-2.8,0.0994,-2.8994,184.1162
2026-03-16 20:00:00,LONG,TAKE,73635.85,3.92,0.1,3.82,187.9362
2026-03-18 07:00:00,LONG,STOP,74232.94,-2.8,0.0994,-2.8994,185.0368
2026-03-26 10:15:00,SHORT,TAKE,70739.89,3.92,0.1,3.82,188.8569
2026-03-30 08:15:00,LONG,TAKE,66307.82,3.92,0.1,3.82,192.6769
2026-04-01 00:15:00,SHORT,STOP,67258.18,-2.8,0.0994,-2.8994,189.7775
2026-04-05 18:15:00,LONG,TAKE,66920.26,3.92,0.1,3.82,193.5976
2026-04-11 13:30:00,LONG,TAKE,71694.07,3.92,0.1,3.82,197.4176
2026-04-13 09:45:00,SHORT,STOP,70808.35,-2.8,0.0994,-2.8994,194.5182
2026-04-16 15:00:00,SHORT,STOP,73935.61,-2.8,0.0994,-2.8994,191.6188
